gen avg max std
0.000000 -5.448410 13.831701 2.756598
1.000000 -3.993694 18.168005 4.812526
2.000000 -2.380316 19.936089 6.099898
3.000000 -0.447679 19.936089 6.976937
4.000000 1.341370 19.938357 7.734583
5.000000 4.975469 19.936089 8.198087
6.000000 10.469670 25.970483 6.607111
7.000000 14.857218 19.973945 5.237647
8.000000 19.707988 21.165457 1.055831
9.000000 20.252927 29.625460 1.407291
10.000000 20.120039 24.589549 0.731228
11.000000 19.995608 21.581257 0.283811
12.000000 19.970605 21.581285 0.230138
13.000000 19.965966 21.159639 0.170920
14.000000 20.065012 21.581683 0.419381
15.000000 20.163999 21.581683 0.522178
16.000000 20.157907 21.581900 0.532291
17.000000 20.395699 21.627501 0.724209
18.000000 20.266245 21.614443 0.640086
19.000000 20.222630 21.610839 0.570962
20.000000 20.276959 21.581940 0.651274
21.000000 20.448504 21.627179 0.737913
22.000000 20.432931 22.692059 0.757262
23.000000 20.517889 21.587051 0.752924
24.000000 20.354624 21.587563 0.676558
25.000000 20.326749 21.581886 0.664591
26.000000 20.525486 21.593031 0.753167
27.000000 20.666295 21.627214 0.772105
28.000000 20.544579 21.630744 0.769622
29.000000 20.678001 21.627668 0.779446
30.000000 20.635290 23.058251 0.843683
