gen avg max std
0.000000 2.376125 61.169804 15.947961
1.000000 12.225777 86.382430 20.656866
2.000000 18.547766 86.382430 22.694704
3.000000 26.811623 86.382430 25.721225
4.000000 26.721408 86.382430 29.957116
5.000000 36.554773 86.382430 33.085191
6.000000 47.449710 86.382430 33.041248
7.000000 44.273078 86.382430 35.218148
8.000000 57.663365 86.382430 34.956136
9.000000 62.956463 86.382430 35.220127
10.000000 70.154883 86.525307 31.076467
11.000000 76.866142 86.525307 25.158619
12.000000 71.205786 86.382430 30.128928
13.000000 71.818564 86.474143 31.064184
14.000000 70.861205 86.742981 31.025062
15.000000 69.780105 86.742981 30.751446
16.000000 73.706332 86.742981 27.429003
17.000000 73.951459 86.742981 27.283519
18.000000 71.927513 87.758488 29.618134
19.000000 73.171664 87.758488 27.024908
20.000000 69.887969 87.758488 29.707178
21.000000 64.467591 87.758488 30.910901
22.000000 63.085317 87.758488 33.351638
23.000000 58.208137 89.310915 32.904204
24.000000 59.589854 89.310915 33.872780
25.000000 56.911990 89.310915 35.168873
26.000000 57.921816 89.310915 33.265604
27.000000 66.770076 89.310915 30.172595
28.000000 62.898804 89.310915 34.946968
29.000000 62.094063 89.310915 32.843897
30.000000 60.793086 89.310915 36.191417
