gen avg max std
0.000000 -4.396368 19.936089 5.056279
1.000000 -2.305206 19.936089 6.549668
2.000000 0.581794 19.936089 8.964038
3.000000 1.940114 19.936089 9.494167
4.000000 3.572003 19.936089 10.180988
5.000000 7.231047 21.326735 10.975341
6.000000 8.395390 21.326735 11.479685
7.000000 9.980056 21.326735 11.402442
8.000000 10.621746 21.333676 11.346605
9.000000 10.256292 21.333676 11.400689
10.000000 9.936628 27.675684 11.539642
11.000000 11.406225 27.675684 10.909498
12.000000 13.400764 27.675684 10.863711
13.000000 13.146537 27.675684 11.267935
14.000000 13.113601 27.675684 12.039444
15.000000 12.835550 27.675684 10.985952
16.000000 13.862424 27.675684 12.039458
17.000000 11.552772 35.393727 13.869690
18.000000 15.059564 30.393898 12.911702
19.000000 16.862851 29.603651 12.764079
20.000000 19.982711 38.868089 12.253173
21.000000 20.870141 38.868089 11.147161
22.000000 21.305520 38.868089 12.497099
23.000000 21.063813 42.800372 13.014231
24.000000 21.748497 41.384469 12.328695
25.000000 21.738803 41.694648 14.544399
26.000000 20.675986 44.713906 16.842670
27.000000 24.107216 44.850882 15.990043
28.000000 25.613980 46.889706 16.154533
29.000000 22.074108 46.889706 18.034659
30.000000 23.297642 46.889706 17.550952
