gen avg max std
0.000000 -1.899521 69.894064 13.373792
1.000000 3.354006 67.092697 15.913820
2.000000 12.328000 78.977398 19.624258
3.000000 21.107399 73.398952 12.591021
4.000000 32.476099 85.581337 14.601263
5.000000 34.570302 86.442346 14.618664
6.000000 38.547634 84.969549 15.703035
7.000000 51.117200 86.930662 18.145141
8.000000 63.645848 86.036833 16.044097
9.000000 66.964286 86.865246 10.830301
10.000000 72.959167 86.848956 9.656087
11.000000 73.617700 86.980446 8.063314
12.000000 74.964150 86.869029 6.809865
13.000000 74.673202 87.146802 6.063424
14.000000 77.774736 88.046308 6.662750
15.000000 76.708672 88.194811 7.227692
16.000000 80.037543 87.539821 5.203704
17.000000 79.591967 88.213663 5.238981
18.000000 80.300151 86.966860 3.762433
19.000000 79.999577 87.866233 4.521167
20.000000 81.957282 88.084557 3.718032
21.000000 81.954210 88.029171 3.576388
22.000000 81.993786 87.754929 3.761253
23.000000 82.331135 88.005195 3.617737
24.000000 82.170951 87.798899 3.656948
25.000000 82.587922 88.061710 3.767966
26.000000 82.720508 87.895324 3.676146
27.000000 83.492113 87.936926 3.417359
28.000000 84.952288 87.526303 2.747341
29.000000 86.423195 87.953431 0.772321
30.000000 86.435030 89.127893 0.777697
