gen avg max std
0.000000 -0.280140 73.047828 13.358195
1.000000 70.494015 73.352286 10.733051
2.000000 68.094143 73.354963 14.337815
3.000000 67.860052 73.312016 13.662788
4.000000 66.876758 73.330698 15.077419
5.000000 68.140305 73.343329 12.641448
6.000000 65.416131 73.330698 16.631788
7.000000 65.276265 73.330698 15.788087
8.000000 63.412369 73.330698 17.316374
9.000000 65.455417 73.316412 15.449462
10.000000 64.366961 73.343160 16.560853
11.000000 63.689018 73.330698 17.202410
12.000000 64.093166 73.330698 16.636000
13.000000 63.228138 73.327958 16.977086
14.000000 65.873861 73.336130 14.523801
15.000000 64.375808 73.343781 16.165452
16.000000 64.252719 73.343781 15.765106
17.000000 63.287404 73.336130 17.160077
18.000000 62.257180 73.322485 18.789131
19.000000 63.415051 73.327958 16.975599
20.000000 61.755998 73.314210 17.910517
21.000000 62.480800 73.322104 17.623893
22.000000 62.547853 73.322104 16.924070
23.000000 63.025465 73.331466 17.537669
24.000000 63.730488 73.331466 16.414856
25.000000 64.283133 73.324838 15.603237
26.000000 63.993398 73.318620 15.731824
27.000000 62.181927 73.324687 16.146907
28.000000 61.357198 73.324687 17.558868
29.000000 62.226888 73.305872 16.606351
30.000000 61.205732 73.327958 17.942067
31.000000 64.340833 85.369500 15.189481
32.000000 64.123879 85.369500 15.211236
33.000000 65.648601 73.671865 14.254388
34.000000 65.732048 73.524293 14.201541
35.000000 63.652177 73.524293 16.631148
36.000000 62.011827 73.681952 17.074260
37.000000 62.203389 86.128030 16.633605
38.000000 63.540257 86.128030 16.457974
39.000000 65.181821 86.322407 14.929720
40.000000 65.711351 86.729046 15.185302
41.000000 64.751675 86.729046 15.853077
42.000000 64.004179 86.483561 16.840489
43.000000 64.822006 86.366370 16.491011
44.000000 65.348973 86.821120 16.918534
45.000000 64.024773 86.421046 17.263075
46.000000 64.155301 86.421046 17.441421
