gen avg max std
0.000000 1.019195 74.746171 13.668106
1.000000 9.322355 74.781400 16.778333
2.000000 20.572856 74.746171 15.993423
3.000000 31.221277 85.666602 15.025232
4.000000 35.206339 84.838793 16.126410
5.000000 41.559671 86.211736 16.970600
6.000000 51.312752 87.505597 13.983127
7.000000 59.868261 89.215851 7.340083
8.000000 61.067534 86.591410 8.490275
9.000000 61.327757 87.217915 8.804517
10.000000 60.870988 88.840905 8.225387
11.000000 61.035630 88.043021 7.999010
12.000000 61.242656 90.531574 8.812560
13.000000 62.301683 86.593424 8.953569
14.000000 64.179555 88.015851 9.904022
15.000000 65.400453 90.221114 11.311761
16.000000 66.262532 86.793424 11.141493
17.000000 68.304032 89.823649 11.522097
18.000000 69.576970 87.851965 11.693204
19.000000 72.652854 88.391410 10.928868
20.000000 74.106804 89.468774 10.316990
21.000000 75.543260 89.218586 9.688878
22.000000 78.259866 88.957367 8.437500
23.000000 79.157283 88.993424 8.351258
24.000000 79.265233 91.254579 8.273188
25.000000 79.909038 89.870950 7.961543
26.000000 79.840290 88.613791 7.945154
27.000000 82.272809 88.817915 6.881528
28.000000 83.580468 89.218586 4.838307
29.000000 86.299984 89.793424 0.591905
30.000000 86.238049 87.813791 0.313311
31.000000 86.250385 88.813791 0.321098
32.000000 86.321380 89.793424 0.480722
33.000000 86.238596 89.193424 0.358274
34.000000 86.343307 88.466602 0.337587
35.000000 86.359875 88.215851 0.302397
36.000000 86.344798 88.240905 0.320781
37.000000 86.410913 88.533532 0.280862
38.000000 86.415215 87.211736 0.105677
39.000000 86.478038 89.759745 0.403975
40.000000 86.454892 89.015851 0.270082
