gen avg max std
0.000000 -3.315926 39.502832 6.669417
1.000000 0.349781 75.191858 11.394639
2.000000 6.331787 75.191858 15.605949
3.000000 9.380319 75.191858 16.125913
4.000000 12.241748 75.191858 17.869097
5.000000 15.195614 75.191858 18.830326
6.000000 13.900845 75.191858 19.027486
7.000000 15.677442 75.191858 20.611954
8.000000 17.120160 86.455982 21.762817
9.000000 18.606229 75.191858 24.299817
10.000000 18.454755 75.191858 24.409225
11.000000 19.231091 75.191858 23.125467
12.000000 16.984175 75.191858 21.576896
13.000000 15.115458 75.191858 20.673286
14.000000 20.660418 75.191858 22.389376
15.000000 20.429919 75.191858 24.621342
16.000000 24.348505 75.191858 28.557005
17.000000 23.504158 87.458145 28.726703
18.000000 23.439043 87.458145 28.729601
19.000000 27.645707 75.191858 30.125945
20.000000 32.186084 75.191858 31.476781
21.000000 36.807132 75.191858 33.532946
22.000000 45.467870 75.191858 34.037698
23.000000 48.712278 75.191858 34.367750
24.000000 49.619009 75.191858 33.951656
25.000000 51.407365 75.191858 33.879170
26.000000 54.067297 75.191858 32.773858
27.000000 52.861517 75.191858 33.624869
28.000000 54.337759 75.191858 32.770932
29.000000 51.216023 75.191858 34.316770
30.000000 52.333318 75.191858 34.115192
31.000000 54.912885 75.191858 32.329985
32.000000 56.018893 75.191858 32.192953
33.000000 57.143365 75.191858 31.745749
34.000000 52.293321 75.191858 33.824737
35.000000 54.336975 75.191858 32.713132
36.000000 54.879074 75.191858 32.306872
37.000000 49.350653 75.191858 35.223904
38.000000 49.072463 75.191858 35.071435
39.000000 46.477135 75.191858 34.955574
40.000000 48.980272 75.191858 34.936624
