gen avg max std
0.000000 5.908517 90.473532 24.620091
1.000000 15.390275 90.473532 30.638081
2.000000 31.373133 90.473532 35.175206
3.000000 44.857507 90.473532 38.139319
4.000000 54.861678 90.473532 38.414141
5.000000 59.487211 90.489900 35.623780
6.000000 59.673638 90.489900 38.299526
7.000000 53.546961 90.489900 40.452263
8.000000 55.692190 90.489900 37.891796
9.000000 61.894306 90.679688 37.334492
10.000000 65.320242 90.489900 37.353863
11.000000 72.893504 92.608354 32.261791
12.000000 65.811132 92.608354 37.075602
13.000000 72.444281 90.556415 32.883306
14.000000 79.761944 90.556415 26.244340
15.000000 75.624304 90.676415 29.564877
16.000000 78.684050 90.679688 27.295497
17.000000 83.480098 90.679688 19.917325
18.000000 77.648106 90.679688 27.997942
19.000000 78.978972 90.679688 26.290085
20.000000 76.938284 91.832890 27.657898
21.000000 77.668371 90.859688 28.431673
22.000000 72.942141 90.859688 31.111530
23.000000 76.200407 90.859688 27.771865
24.000000 72.185956 91.722264 31.323464
25.000000 72.690680 91.722264 29.905659
26.000000 77.069910 91.722264 27.760935
27.000000 70.755353 91.722264 32.267502
28.000000 79.872363 91.722264 24.642380
29.000000 81.207289 90.859688 24.111636
30.000000 76.837140 90.896420 27.463086
