gen avg max std
0.000000 0.544973 39.105597 13.672402
1.000000 2.608950 39.179917 15.161621
2.000000 11.635455 39.179917 18.426972
3.000000 20.415086 48.013548 16.587608
4.000000 34.129193 66.176954 10.569889
5.000000 40.310142 57.269900 3.623397
6.000000 42.472208 57.156456 5.638648
7.000000 43.016668 56.573512 4.756836
8.000000 46.096493 66.213103 6.738267
9.000000 45.606371 94.852506 8.975326
10.000000 47.165065 66.216175 5.431014
11.000000 49.873702 94.852506 8.975263
12.000000 49.831496 66.133532 4.421039
13.000000 49.276820 66.013548 4.017644
14.000000 48.925193 57.028738 2.698241
15.000000 48.378903 57.018586 1.763605
16.000000 49.277280 65.888533 3.596688
17.000000 49.100995 65.966914 3.433100
18.000000 48.739299 57.070411 2.443265
19.000000 49.639102 66.176954 4.296235
20.000000 49.448663 65.635249 3.707023
21.000000 49.459569 65.543230 3.708710
22.000000 49.995562 66.013548 4.484473
23.000000 50.511804 74.581635 5.032187
24.000000 50.993981 86.633853 8.091368
25.000000 52.334214 84.808083 7.699902
26.000000 53.388924 84.431292 7.598163
27.000000 55.836116 74.675641 8.224748
28.000000 56.400922 89.106430 11.985670
29.000000 55.959658 89.176954 8.999034
30.000000 54.146472 87.477435 7.926035
