gen avg max std
0.000000 3.396244 30.424051 10.201552
1.000000 10.646756 30.570654 10.061300
2.000000 18.177250 21.727000 5.312927
3.000000 21.760614 28.976241 0.991610
4.000000 22.279241 39.416504 2.891956
5.000000 21.794532 30.592828 1.209347
6.000000 22.125475 30.701683 2.066142
7.000000 22.125444 39.416504 2.660863
8.000000 22.624829 30.672124 2.809477
9.000000 22.133755 30.691732 2.046368
10.000000 22.621337 30.711733 2.814732
11.000000 22.455852 30.652892 2.573685
12.000000 21.977570 30.583900 1.684410
13.000000 21.969715 30.672124 1.702068
14.000000 22.294464 30.676990 2.357797
15.000000 21.984064 30.557582 1.676429
16.000000 22.474241 30.716796 2.584871
17.000000 22.495733 30.601837 2.578436
18.000000 21.991663 30.515203 1.670987
19.000000 23.802812 83.718710 8.696926
20.000000 23.184453 39.431655 3.739331
21.000000 23.378660 39.427846 4.194888
22.000000 24.230259 39.431655 4.312008
23.000000 24.891855 47.897441 5.105901
24.000000 25.398096 39.390528 4.927221
25.000000 25.700245 48.003548 5.750714
26.000000 25.240647 39.397881 4.579793
27.000000 25.717684 39.412751 4.679711
28.000000 25.888845 39.263428 4.667846
29.000000 26.708348 56.853671 7.809861
30.000000 26.066569 65.864435 7.092690
31.000000 26.037763 57.016064 5.995221
32.000000 28.629158 48.165189 6.827436
33.000000 30.719600 48.185869 6.802414
34.000000 32.828264 57.021114 9.571248
35.000000 32.945541 65.751957 7.456680
36.000000 32.993086 56.996113 5.959771
37.000000 33.670193 65.721479 7.381694
38.000000 33.016541 65.797464 7.442043
39.000000 34.340523 65.838793 8.890750
40.000000 32.222663 56.884108 4.461705
41.000000 32.722265 65.803556 6.962218
42.000000 32.234002 56.996113 5.358685
43.000000 32.571801 65.725238 7.285673
44.000000 31.763835 57.028738 5.077270
45.000000 31.927067 65.721479 5.936445
46.000000 32.087188 56.862273 5.245788
47.000000 33.382457 57.028738 6.914184
48.000000 31.922266 65.840905 5.435014
