gen avg max std
0.000000 -1.500074 39.046757 8.841541
1.000000 2.951087 46.811587 10.686871
2.000000 6.824746 46.811587 12.001293
3.000000 9.979928 55.890121 12.712352
4.000000 12.395442 55.890121 13.879187
5.000000 13.460598 57.028738 13.691404
6.000000 15.438398 57.028738 12.823388
7.000000 16.253312 73.975351 13.344750
8.000000 16.265703 47.172371 13.138439
9.000000 14.692056 56.809685 13.850245
10.000000 15.540489 56.809685 15.216918
11.000000 17.162708 74.626780 15.419876
12.000000 14.706203 65.771489 16.168829
13.000000 16.323535 65.771489 14.867022
14.000000 16.804849 65.771489 15.614835
15.000000 15.986921 65.771489 15.033758
16.000000 16.155391 65.771489 15.947937
17.000000 18.551525 65.771489 16.446700
18.000000 16.947441 65.771489 17.338588
19.000000 16.128623 56.862273 17.284527
20.000000 16.519591 56.931574 17.621288
21.000000 16.405091 83.007376 17.915212
22.000000 19.263491 83.007376 19.486557
23.000000 18.331125 83.007376 19.822565
24.000000 18.998741 83.007376 20.424258
25.000000 17.106726 83.007376 20.822406
26.000000 18.010603 83.007376 19.520136
27.000000 19.758851 83.007376 19.570241
28.000000 20.588896 83.007376 22.021851
29.000000 19.741880 83.007376 23.608029
30.000000 22.310820 85.750121 24.886636
31.000000 22.743178 85.750121 26.086295
32.000000 20.291549 83.007376 25.604435
33.000000 22.728642 83.326085 26.372757
34.000000 21.767899 83.653353 26.511368
35.000000 24.819784 83.653353 27.266781
36.000000 24.164927 84.505413 28.136966
37.000000 26.729628 84.290206 28.855372
38.000000 27.449724 84.828374 29.364682
39.000000 28.884311 86.088064 30.904404
40.000000 33.055301 84.828374 31.720556
41.000000 32.344110 84.828374 33.200451
42.000000 36.749398 84.828374 33.152442
43.000000 41.582623 84.702353 34.321507
44.000000 44.126994 84.702353 35.476783
45.000000 44.128261 88.021905 35.853516
46.000000 44.822158 88.021905 35.779191
47.000000 51.551496 88.021905 34.418222
48.000000 52.439259 88.021905 34.138392
49.000000 48.323127 88.021905 35.869806
50.000000 49.995793 88.021905 35.676547
