gen avg max std
0.000000 -1.877518 21.620103 7.644631
1.000000 2.432972 56.236115 10.916915
2.000000 6.979486 56.236115 11.509700
3.000000 11.227689 56.236115 11.397585
4.000000 15.741957 56.236115 14.027821
5.000000 15.278246 56.236115 15.842860
6.000000 12.694725 56.236115 17.373431
7.000000 14.565596 56.236115 16.136922
8.000000 15.309414 56.236115 17.227490
9.000000 17.371751 56.236115 19.011793
10.000000 19.656003 56.236115 21.266499
11.000000 24.713285 56.236115 22.637349
12.000000 30.175332 56.236115 25.126969
13.000000 37.055418 56.236115 25.420067
14.000000 43.394173 56.236115 24.227229
15.000000 45.037220 56.236115 23.230938
16.000000 41.656478 56.236115 25.375407
17.000000 41.701457 56.236115 24.943169
18.000000 41.392306 56.236115 25.424869
19.000000 41.602016 56.236115 24.925297
20.000000 45.997001 56.236115 21.632798
21.000000 43.416915 56.236115 24.422222
22.000000 44.773142 73.904107 23.258538
23.000000 41.175119 73.904107 25.425782
24.000000 42.357345 73.904107 25.874129
25.000000 45.454357 73.904107 23.719312
26.000000 42.533502 73.904107 27.147067
27.000000 39.686405 73.966780 29.800239
28.000000 36.607710 73.966780 32.957299
29.000000 38.789289 83.544135 33.983523
30.000000 40.525942 83.544135 35.932934
