n_population,n_generations,mutation_rate,k,tournament_size,fitness
91,33,0.11484227882811993,11,3,40.44647452147282
166,49,0.1433422851542901,11,3,30.191704639253928
144,49,0.1518497783645777,29,3,26.98558522054941
92,35,0.12001588825504189,26,3,34.29937523002493
75,45,0.12344007188345371,14,3,13.801356497022148
64,48,0.2915792602931613,23,3,16.554802450773032
219,32,0.22662070799310383,18,3,27.328975459882443
130,49,0.26350116145637925,29,3,17.277687314993972
243,33,0.1840063780659875,28,3,39.152507286372526
295,35,0.28839684091972484,27,3,35.366170991194366
119,34,0.18056497835214838,10,3,28.806354002991423
192,31,0.1,30,3,14.244477127881154
59,33,0.11856355188793095,12,3,13.801356497022148
91,33,0.11444785768619832,10,3,26.222532171562417
240,46,0.29654398719865105,12,3,40.52629037776393
240,49,0.2867517181353124,14,3,34.74366885968497
248,32,0.28825860710174717,12,3,35.15235707308996
236,32,0.10064478950909034,22,3,31.779945068531166
257,48,0.11688614035936613,24,3,31.211918729684534
102,33,0.1000641285299212,23,3,27.26953687220856
