n_hidden_neurons,n_population,n_generations,mutation_rate,sigma,fitness
9,298,27,0.2783210485200498,0.09834058289810602,89.39842723119598
11,113,26,0.11009175871019933,0.0659233431627479,88.1692492120381
11,89,29,0.1851642501964603,0.17593183134438511,88.1430703447839
15,107,32,0.2425069294084883,0.15230292831927986,89.9959127917705
18,187,24,0.22015306726231498,0.17243372884390895,88.2505811617378
15,297,34,0.27231604080063515,0.13170285083567923,87.04558654025026
14,175,31,0.2297838039551452,0.16789034033251132,89.14266718531444
13,151,38,0.258067854350123,0.17128240062229633,87.19914532120981
8,176,39,0.25581704421130036,0.18828136260323158,74.24889853106325
16,262,32,0.17050955085393105,0.05956367710868529,88.47995543807339
15,91,32,0.24294561632892683,0.15170649754565674,86.19513097609463
6,300,20,0.3,0.2,86.95016122184879
20,108,48,0.20144290860050706,0.12428480311592183,83.71871032945964
14,300,20,0.3,0.2,85.64661578162045
20,73,29,0.10306812045616409,0.10844148633813344,90.55829930534797
20,86,29,0.2005568350000266,0.1761234358802795,68.38677961290973
20,124,26,0.1,0.08170070656748729,84.42510157968519
14,293,40,0.1931756788096422,0.15382040354562315,90.84373538810927
14,191,49,0.1640597068544041,0.14953920169923557,89.47202559102973
14,289,43,0.27652090054364953,0.1485106228707338,87.97063674656258
