gen avg max std
0.000000 5.217287 87.139358 23.392142
1.000000 13.204116 87.151054 29.664225
2.000000 24.132825 87.164759 34.443151
3.000000 32.210925 89.454668 37.314290
4.000000 42.882231 89.463229 38.498204
5.000000 41.206064 89.499983 39.264883
6.000000 52.547195 89.463229 38.598432
7.000000 57.191269 89.463229 37.942533
8.000000 65.796472 89.530924 35.330061
9.000000 66.966005 89.593561 34.225190
10.000000 65.482337 90.979688 36.729920
11.000000 66.246444 90.979688 34.589671
12.000000 62.215098 90.979688 38.916388
13.000000 68.943905 90.979688 35.153460
14.000000 64.498906 90.979688 38.326844
15.000000 63.422955 90.979688 37.658435
16.000000 69.502618 90.979688 32.599137
17.000000 75.558594 90.979688 29.066405
18.000000 69.266946 90.979688 31.498227
19.000000 68.726725 90.979688 34.398509
20.000000 69.162238 90.979688 34.894652
21.000000 72.883516 90.979688 30.729887
22.000000 74.017003 90.979688 29.394705
23.000000 74.239545 90.979688 30.224161
24.000000 75.287492 90.979688 29.986766
25.000000 81.995059 90.979688 23.368553
26.000000 81.736109 90.979688 24.421823
27.000000 85.193199 90.979688 19.126859
28.000000 80.414470 90.979688 26.420538
29.000000 85.244835 90.979688 19.965474
30.000000 80.677473 90.979688 26.633030
