gen avg max std
0.000000 6.331082 87.142270 27.111392
1.000000 9.721851 89.846611 29.210031
2.000000 28.121785 89.846611 37.376287
3.000000 34.137090 89.846611 37.737039
4.000000 45.836921 89.846611 39.754995
5.000000 54.920104 91.277367 40.156882
6.000000 63.954890 91.277367 37.767176
7.000000 61.719660 91.277367 38.057989
8.000000 66.692461 91.277367 36.058197
9.000000 64.273022 91.751062 39.371000
10.000000 68.628410 91.277367 35.571967
11.000000 67.721493 91.277367 35.580026
12.000000 67.207666 91.277367 36.174062
13.000000 77.102541 91.362264 27.343126
14.000000 72.128088 91.359556 33.414482
15.000000 76.684729 91.277367 29.311287
16.000000 79.085693 91.277367 28.330233
17.000000 80.754855 91.608859 25.267254
18.000000 76.261139 91.277367 28.932157
19.000000 77.820082 91.277367 27.120358
20.000000 80.875369 91.277367 24.828409
21.000000 82.402278 91.277367 24.174213
22.000000 82.738635 91.405448 23.758818
23.000000 81.098888 91.405448 23.821620
24.000000 75.321125 91.465448 29.070535
25.000000 80.843729 91.465448 25.218088
26.000000 84.306640 91.465448 21.349766
27.000000 78.601427 91.465448 27.629798
28.000000 78.881191 91.491655 27.116199
29.000000 79.614948 93.196695 25.948953
30.000000 78.465931 93.196695 27.808459
